Installed Packages
xorg-x11-drv-rendition.i386              4.1.3-5.fc8            installed       
xorg-x11-drv-s3.i386                     0.5.0-5.fc8            installed       
xorg-x11-drv-s3virge.i386                1.9.1-5.fc8            installed       
xorg-x11-drv-savage.i386                 2.1.3-1.fc8            installed       
xorg-x11-drv-siliconmotion.i386          1.5.1-3.fc8            installed       
xorg-x11-drv-sis.i386                    0.9.3-4.fc8            installed       
xorg-x11-drv-sisusb.i386                 0.8.1-9.fc8            installed       
xorg-x11-drv-spaceorb.i386               1.1.0-4.fc8            installed       
xorg-x11-drv-summa.i386                  1.1.0-4.fc8            installed       
xorg-x11-drv-tdfx.i386                   1.3.0-6.fc8            installed       
xorg-x11-drv-tek4957.i386                1.1.0-4.fc8            installed       
xorg-x11-drv-trident.i386                1.2.3-6.fc8            installed       
xorg-x11-drv-tseng.i386                  1.1.0-7.fc8            installed       
xorg-x11-drv-ur98.i386                   1.1.0-4.fc8            installed       
xorg-x11-drv-v4l.i386                    0.1.1-8.fc8            installed       
xorg-x11-drv-vesa.i386                   1.3.0-10.fc8           installed       
xorg-x11-drv-via.i386                    0.2.2-4.fc8            installed       
xorg-x11-drv-vmmouse.i386                12.4.3-1.fc8           installed       
xorg-x11-drv-vmware.i386                 10.15.2-1.fc8          installed       
xorg-x11-drv-void.i386                   1.1.1-6.fc8            installed       
xorg-x11-drv-voodoo.i386                 1.1.1-1.fc8            installed       
xorg-x11-filesystem.noarch               7.1-2.fc6              installed       
xorg-x11-font-utils.i386                 1:7.2-2.fc8            installed       
xorg-x11-fonts-100dpi.noarch             7.2-3.fc8              installed       
xorg-x11-fonts-ISO8859-1-100dpi.noarch   7.2-3.fc8              installed       
xorg-x11-fonts-Type1.noarch              7.2-3.fc8              installed       
xorg-x11-fonts-misc.noarch               7.2-3.fc8              installed       
xorg-x11-fonts-truetype.noarch           7.2-3.fc8              installed       
xorg-x11-proto-devel.noarch              7.3-3.fc8              installed       
xorg-x11-server-Xorg.i386                1.3.0.0-47.fc8         installed       
xorg-x11-server-utils.i386               7.3-2.fc8              installed       
xorg-x11-twm.i386                        1:1.0.3-1.fc8          installed       
xorg-x11-util-macros.i386                1.1.5-1.fc7            installed       
xorg-x11-utils.i386                      7.3-1.fc8              installed       
xorg-x11-xauth.i386                      1:1.0.2-3.fc8          installed       
xorg-x11-xinit.i386                      1.0.7-2.fc8            installed       
xorg-x11-xkb-utils.i386                  7.2-3.fc8              installed       
xorg-x11-xtrans-devel.i386               1.0.3-5.fc8            installed       
xpp2.noarch                              2.1.10-6jpp.1.fc7      installed       
xpp3.noarch                              1.1.3.8-1jpp.1.fc7     installed       
xrestop.i386                             0.4-3.fc8              installed       
xsane.i386                               0.994-4.fc8            installed       
xsane-gimp.i386                          0.994-4.fc8            installed       
xterm.i386                               235-1.fc8              installed       
xxdiff.i386                              3.2-8.fc8              installed       
yelp.i386                                2.20.0-11.fc8          installed       
yp-tools.i386                            2.9-2                  installed       
ypbind.i386                              3:1.20.4-4.fc8         installed       
yum.noarch                               3.2.8-2.fc8            installed       
yum-metadata-parser.i386                 1.1.2-1.fc8            installed       
yum-updatesd.noarch                      1:0.9-1.fc8            installed       
yum-utils.noarch                         1.1.14-4.fc8           installed       
zd1211-firmware.noarch                   1.4-1                  installed       
zenity.i386                              2.20.1-2.fc8           installed       
zip.i386                                 2.31-3.fc7             installed       
zisofs-tools.i386                        1.0.8-2.fc8            installed       
zlib.i386                                1.2.3-14.fc8           installed       
zlib-devel.i386                          1.2.3-14.fc8           installed       
zsh.i386                                 4.3.4-4.fc8            installed       
