Installed Packages
gtk-sharp2.i386                          2.10.3-3.fc8           installed       
gtk2.i386                                2.12.8-2.fc8           installed       
gtk2-devel.i386                          2.12.8-2.fc8           installed       
gtk2-engines.i386                        2.12.2-1.fc8           installed       
gtkglext-libs.i386                       1.2.0-5.fc8            installed       
gtkhtml2.i386                            2.11.1-2.fc8           installed       
gtkhtml3.i386                            3.16.3-1.fc8           installed       
gtkmm24.i386                             2.12.7-1.fc8           installed       
gtksourceview.i386                       1:1.8.5-3.fc8          installed       
gtksourceview2.i386                      2.0.2-1.fc8            installed       
gtkspell.i386                            2.0.11-4.fc8           installed       
gucharmap.i386                           1.10.2-1.fc8           installed       
gutenprint.i386                          5.0.2-1.fc8            installed       
gutenprint-foomatic.i386                 5.0.2-1.fc8            installed       
gzip.i386                                1.3.12-4.fc8           installed       
hal.i386                                 0.5.10-3.fc8           installed       
hal-cups-utils.i386                      0.6.13-2.fc8           installed       
hal-devel.i386                           0.5.10-3.fc8           installed       
hal-info.noarch                          20080607-2.fc8         installed       
hal-libs.i386                            0.5.10-3.fc8           installed       
hdparm.i386                              7.7-1.fc8              installed       
hesiod.i386                              3.1.0-9                installed       
hesiod-devel.i386                        3.1.0-9                installed       
hicolor-icon-theme.noarch                0.10-2                 installed       
hpijs.i386                               1:2.8.2-1.fc8          installed       
hplip.i386                               2.8.2-1.fc8            installed       
hsqldb.i386                              1:1.8.0.8-1jpp.5.fc8   installed       
httpd.i386                               2.2.8-1.fc8            installed       
httpd-manual.i386                        2.2.8-1.fc8            installed       
httpd-tools.i386                         2.2.8-1.fc8            installed       
httpunit.noarch                          1.6.2-1jpp.1.fc7       installed       
hunspell.i386                            1.1.12.2-2.fc8         installed       
hunspell-en.noarch                       0.20061130-3.fc8       installed       
hwdata.noarch                            0.215-1.fc8            installed       
hyperestraier.i386                       1.4.13-1.fc8           installed       
ice.i386                                 3.3.0-3.fc8            installed       
ice-ruby.i386                            3.3.0-3.fc8            installed       
icedax.i386                              1.1.6-6.fc8            installed       
icu4j.i386                               3.6.1-1jpp.3.fc8       installed       
icu4j-eclipse.i386                       3.6.1-1jpp.3.fc8       installed       
ifd-egate.i386                           0.05-19                installed       
imake.i386                               1.0.2-5.fc8            installed       
indent.i386                              2.2.9-16.fc7           installed       
info.i386                                4.11-5.fc8             installed       
initscripts.i386                         8.60-1                 installed       
iproute.i386                             2.6.22-2.fc8           installed       
ipsec-tools.i386                         0.7-5.fc8              installed       
iptables.i386                            1.4.1.1-1.fc8          installed       
iptables-ipv6.i386                       1.4.1.1-1.fc8          installed       
iptstate.i386                            2.2.1-1.fc8            installed       
iputils.i386                             20070202-5.fc8         installed       
ipw2100-firmware.noarch                  1.3-8                  installed       
ipw2200-firmware.noarch                  3.0-9                  installed       
irda-utils.i386                          0.9.18-3.fc8           installed       
irqbalance.i386                          2:0.55-7.fc8           installed       
iscsi-initiator-utils.i386               6.2.0.865-0.2.fc8      installed       
isdn4k-utils.i386                        3.2-55.fc8             installed       
iso-codes.noarch                         1.5-1.fc8              installed       
